"","Year","Date","Site","Region","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","kd490_value","WDPAID","WDPA_PID","PA_DEF","NAME","ORIG_NAME","DESIG","DESIG_ENG","DESIG_TYPE","IUCN_CAT","INT_CRIT","MARINE","REP_M_AREA","GIS_M_AREA","REP_AREA","GIS_AREA","NO_TAKE","NO_TK_AREA","STATUS","STATUS_YR","GOV_TYPE","OWN_TYPE","MANG_AUTH","MANG_PLAN","VERIF","METADATAID","SUB_LOC","PARENT_ISO","ISO3","Longitude.Degrees","Latitude.Degrees"
"1",2005,"25-Dec-05","Pisang Gadang Island","Indonesia",3,"Bleaching (% of population)",0,"ERG031","7.11","302.895","0.096599998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",100.342,-0.992389
"2",2003,"01-Nov-03","Leum Island (Ko Luam)","Thailand",3.9,"Bleaching (% of population)",2,"ERG050","0","302.94","0.086999998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",100.653,12.9627
"3",2006,"13-Nov-06","Hin Luk Bat","Thailand",12,"Bleaching (% of population)",1,"ERG050","3.34","303.5","0.044799999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.283,11.9453
"4",2006,"18-Mar-06","Hin Luk Bat","Thailand",10,"Bleaching (% of population)",0,"ERG050","1.73","303.46","0.0484235","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.287,11.945
"5",2009,"26-Feb-09","Hin Raab South","Thailand",10.7,"Bleaching (% of population)",0,"ERG050","0","300.7","0.045799999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.317,11.9049
"6",2007,"15-Jun-07","Koh Tien/Koh Thain West","Thailand",5,"Bleaching (% of population)",0,"ERG050","1","304.06","0.049799999","9800","9800","1","Mu Ko Chang","Mu Ko Chang","Marine National Park","Marine National Park","National","II","Not Applicable","1","458","440.595935761649","650","612.653489153084","Not Reported","0","Designated","1982","Federal or national ministry or agency","Not Reported","Department of National Park, Wildlife and Plant Conservation Office of National Park","Available","State Verified","881","Not Reported","THA","THA",102.379,11.8052
"7",2008,"10-Jan-08","Koh Tien/Koh Thain West","Thailand",4.5,"Bleaching (% of population)",2,"ERG050","0","301.71","0.032799999","9800","9800","1","Mu Ko Chang","Mu Ko Chang","Marine National Park","Marine National Park","National","II","Not Applicable","1","458","440.595935761649","650","612.653489153084","Not Reported","0","Designated","1982","Federal or national ministry or agency","Not Reported","Department of National Park, Wildlife and Plant Conservation Office of National Park","Available","State Verified","881","Not Reported","THA","THA",102.379,11.8052
"8",2006,"28-Nov-06","Koh Mapring","Thailand",4,"Bleaching (% of population)",3,"ERG050","3.96","304.4","0.044999999","9800","9800","1","Mu Ko Chang","Mu Ko Chang","Marine National Park","Marine National Park","National","II","Not Applicable","1","458","440.595935761649","650","612.653489153084","Not Reported","0","Designated","1982","Federal or national ministry or agency","Not Reported","Department of National Park, Wildlife and Plant Conservation Office of National Park","Available","State Verified","881","Not Reported","THA","THA",102.383,11.7903
"9",2006,"14-Nov-06","Koh Kra","Thailand",3.6,"Bleaching (% of population)",1,"ERG050","2.56","303.81","0.044999999","9800","9800","1","Mu Ko Chang","Mu Ko Chang","Marine National Park","Marine National Park","National","II","Not Applicable","1","458","440.595935761649","650","612.653489153084","Not Reported","0","Designated","1982","Federal or national ministry or agency","Not Reported","Department of National Park, Wildlife and Plant Conservation Office of National Park","Available","State Verified","881","Not Reported","THA","THA",102.389,11.7972
"10",2006,"10-Nov-06","Koh Yak Lek","Thailand",7,"Bleaching (% of population)",0,"ERG050","3.22","303.93","0.044999999","9800","9800","1","Mu Ko Chang","Mu Ko Chang","Marine National Park","Marine National Park","National","II","Not Applicable","1","458","440.595935761649","650","612.653489153084","Not Reported","0","Designated","1982","Federal or national ministry or agency","Not Reported","Department of National Park, Wildlife and Plant Conservation Office of National Park","Available","State Verified","881","Not Reported","THA","THA",102.393,11.7839
