"Ecoregion","non-MPA sites","MPA sites"
"ERG001",181,48
"ERG002",7,2
"ERG003",11,15
"ERG004",2,NA
"ERG005",108,16
"ERG006",19,NA
"ERG009",21,9
"ERG010",1,NA
"ERG016",10,1
"ERG017",4,7
"ERG018",6,117
"ERG020",176,10
"ERG025",3,NA
"ERG026",2,NA
"ERG028",104,48
"ERG031",10,NA
"ERG032",6,NA
"ERG033",11,32
"ERG034",7,NA
"ERG035",69,86
"ERG036",40,NA
"ERG037",5,NA
"ERG038",52,7
"ERG041",6,NA
"ERG044",67,NA
"ERG045",526,223
"ERG046",441,191
"ERG047",70,6
"ERG048",4,NA
"ERG049",640,394
"ERG050",210,49
"ERG051",76,56
"ERG053",1,24
"ERG055",255,21
"ERG056",174,6
"ERG061",8,20
"ERG065",6,1
"ERG069",2,NA
"ERG070",70,NA
"ERG071",12,NA
"ERG072",2,NA
"ERG073",45,NA
"ERG074",23,34
"ERG075",2,NA
"ERG082",84,155
"ERG092",1,NA
"ERG105",20,NA
"ERG106",28,3
"ERG107",125,28
"ERG108",161,NA
"ERG111",111,223
"ERG112",1,NA
"ERG114",5,NA
"ERG115",533,NA
"ERG116",43,NA
"ERG123",38,26
"ERG136",71,256
"ERG137",166,7
"ERG138",235,190
"ERG139",131,228
"ERG140",10,8
"ERG141",91,73
"ERG144",28,97
"ERG146",6,3
